Name,Price,Model,By_Apple
Apple iPad 9th Generation 256GB,$180.50,Pre-Owned,Sponsored
New ListingIPhone 16 Pro Max,$510.00,Brand New,Sponsored
"2020 Apple iPad Air 10.9in WiFi 64gb Sky Blue - PRISTINE Condition, Excellent",$222.00,Pre-Owned,Sponsored
"Apple MacBook (Retina and USB C) 12 in 2016/Intel Core M 1.10 GHz, 256 GB 8...",$109.55,Pre-Owned,Sponsored
Apple MacBook Pro i5-5287U 2.9GHz 8GB 500GB SSD MacOS Monterey,$72.00,Pre-Owned,
Apple MacBook Air i5-5250U 1.6GHz 4GB 250GB SSD macOS Monterey,$46.00,Pre-Owned,
iPhone 13,$258.00,Pre-Owned,
Apple MacBook Pro Early 2015 i5 i7 500GB Apple SSD No OS,$51.00,Parts Only,
New ListingApple AirPods Pro 2nd Generation with MagSafe Wireless Charging Case (USB‑C)...,$76.00,Brand New,
"Apple iPad (5th Generation) A1823 32 GB, Wi-Fi + Cellular, - Silver",$25.00,Pre-Owned,
New ListingApple iPhone 13 - 128 GB - Black (Unlocked),$83.00,Pre-Owned,
"Apple MacBook Air 13"" 2015 251GB SSD 8GB DDR3 i5-5250U 1.6GHz Monterey Grade B+",$69.99,Pre-Owned,
Apple iPad 10.2” Touchscreen (9th Generation) 64GB Wifi only - Space Gray,$132.50,Open Box,Sponsored
"Apple iPad Pro 11-inch (2nd generation), Magic Keyboard, Apple Pencil, PaperLike",$338.00,Pre-Owned,Sponsored
Apple AirPods Max ANC Spatial Audio Full Package + Shipping Protection Wrapper,$165.00,Brand New,Sponsored
Apple iPhone 13 - 128 GB - Black ATT,$119.50,Brand New,Sponsored
Apple MacBook Pro Late 2013 i5-4288U 2.6GHz 16GB 500GB SSD macOS Big Sur,$66.00,Pre-Owned,
New ListingApple iPhone 14 Midnight 256GB (AT&T) A2649 (CDMA+GSM) Factory Sealed *eSIM ONLY,$212.50,Brand New,
Apple MacBook Air 13.3 i7-5650U 2.2GHz 8GB RAM 500GB Apple SSD MacOS Monterey,$52.00,Pre-Owned,
New ListingApple iPhone SE - 16 GB - Silver (Unlocked),$5.00,Pre-Owned,
New ListingApple iPhone 15 Black 256GB AT&T A2846 * FACTORY SEALED BOX * ESIM Only,$510.00,Brand New,
New ListingiPhone 8 64GB ROSE GOLD UNLOCKED (no sim) Excellent Condition!,$49.99,Pre-Owned,
"New ListingApple iPad 10th Generation 10.9"" 64GB Blue Wi-Fi Tablet MPQ13LL/A 2022 Model",$61.00,Pre-Owned,
UNLOCKED Apple iPhone 11 Pro - 256 GB - Gray - HAS ISSUES - READ DESCRIPTION,$56.00,Pre-Owned,
"Apple MagSafe Duo Charger A2458 (MHXF3AM/A) - White, with box + 20W charger",$6.84,Pre-Owned,
New ListingApple iPhone 12 mini - 256 GB - Green (AT&T),$99.00,Pre-Owned,
Apple MacBook Pro 13.3 Early 2015 i5-5257U 2.7GHz 8GB 128GB SSD macOS Monterey,$47.00,Pre-Owned,
APPLE iPhone 12 Mini Blue- 64GB- ATT- UNLOCKED!,$54.00,Pre-Owned,
iPhone 13 Pro Max,$142.50,Pre-Owned,Sponsored
Apple AirPods  3rd Generation with MagSafe Wireless Charging Case (USB‑C)...,$50.00,Brand New,Sponsored
"Apple Watch Series 9 41mm Aluminum Case GPS-Only - Starlight, S/M",$204.50,Pre-Owned,Sponsored
Apple iPhone 13 - 128 GB - Black (Unlocked),$222.00,Pre-Owned,Sponsored
Apple iWatch series 5 44mm GPS only,$50.00,Pre-Owned,
"NEW! Apple MacBook Air 13"" with Apple M3 Chip 16GB 256GB SSD A3113 MC8K4LL/A",$780.00,Brand New,
Apple iPhone 7 32 GB Smartphone - Black (Unlocked) A1778,$17.00,Pre-Owned,
"Apple MacBook Air 7,2 Dual Core i5 1.6GHz 128 GB SSD 13-inch 2015 macOS Monterey",$29.99,Pre-Owned,
Apple iPhone 14 Plus 128GB Smartphone A2632 (Verizon) - Midnight,$207.50,Pre-Owned,
New ListingApple iPhone 11 - 128 GB - Purple - Model MWJQ2LL/A,$49.99,Pre-Owned,
Hermes Apple Watch Single Tour Band - Noir (44mm),$52.00,Pre-Owned,Sponsored
Magic Keyboard for Apple iPad Pro 11-inch and iPad Air,$69.00,Pre-Owned,Sponsored
Apple iPhone 12 -64 GB - Black (UNLOCKED,$91.00,Pre-Owned,
New ListingApple iPhone 11 - 64 GB - Unlocked - Color Black,$125.00,Pre-Owned,
"Apple MacBook Pro 12,1 Dual-Core i5 2.7GHz 16GB 256GB SSD 13-inch macOS Monterey",$31.00,Pre-Owned,
New Listing📱Apple iPhone 11 Pro Max|256GB|Green| Unlocked| Great Condition| BUNDLE📱,$122.50,Pre-Owned,
New ListingJOHN LENNON MIND GAMES APPLE EAP80950 Japan INNER SLEEVE BOOKLET VINYL LP,$6.99,Pre-Owned,
New ListingiPhone,$15.00,Pre-Owned,
"New ListingApple Macbook 12"" Early 2016 A1534 EMC 2991 8GB 512GB M5-6Y54 1.2GHz - HD Issue",$54.00,Pre-Owned,
Parts and Repair Apple iPhone SE (2nd Gen) A2275 64GB AT&T Check IMEI,$29.95,Parts Only,
New ListingApple Watch Ultra 2 49mm GPS + Cell Titanium Case w Blue Ocean Band MREG3LW/A,$102.50,Pre-Owned,
READ! HAS Issues - Apple iPhone 12 Pro 128 GB Gold Unlocked A2341,$199.00,Pre-Owned,
New ListingiPhone 11 - 64GB - Unlocked - Color Green,$135.00,Pre-Owned,
Vintage Canberra Apple (16) Tobacco Smoking Pipe. London Made.,$18.95,Pre-Owned,
New ListingApple iPhone 12 Blue - 64GB (AT&T Unlocked) Used Condition!,$105.00,Pre-Owned,
The Apple [DVD],$0.01,Pre-Owned,
"Apple MacBook Air 6,2 Dual Core i5 1.3GHz 128 GB SSD 13-inch 2013 macOS Big Sur",$29.99,Pre-Owned,
Apple Watch Nike+ Series 3 38mm /Black Nike Sport With Original Box,$10.49,Pre-Owned,
Apple Wireless Keyboard Sealed/New,$15.99,Brand New,
New ListingApple iPhone 12 - 128 GB - Black Gray (Unlocked),$64.00,Pre-Owned,
"Apple MacBook Air 2020 A2179 13.3"" Intel i5 1.1 Ghz 256GB SSD 8GB Space Gray",$233.00,Pre-Owned,Sponsored
New ListingApple Watch Series 10 46mm Aluminum,$91.00,Pre-Owned,Sponsored
